,User,Compound,Negative,Neutral,Positive,Tweets Ago
0,@BBCWorld,-0.029622999999999997,0.8390100000000001,0.08954000000000001,0.07145,50.5
1,@CBSNews,-0.07147,0.8113300000000002,0.11616000000000001,0.0725,50.5
2,@CNN,0.10954300000000002,0.8555500000000004,0.05749999999999999,0.08695999999999998,50.5
3,@FoxNews,0.042988999999999986,0.8253199999999999,0.07968000000000001,0.09499000000000002,50.5
4,@NYTimes,0.07035399999999999,0.8384699999999998,0.07094,0.09056999999999998,50.5
